                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52509,                0.40841,                  1.102,                0.99461,                0.99506,                0.99342,                0.93352,                0.38648,                0.24955,                0.98392,              0.0033324,              0.0033324,              0.0033324
                      2,                0.54952,                0.34577,                 1.0998,                0.99383,                0.99488,                0.99467,                0.92383,                0.39276,                 0.2429,                0.99455,              0.0065338,              0.0065338,              0.0065338
                      3,                0.60718,                0.38904,                 1.1309,                 0.9932,                0.99382,                0.99427,                0.91853,                0.42772,                0.25576,                 1.0264,              0.0096031,              0.0096031,              0.0096031
                      4,                0.61672,                0.38967,                 1.1272,                0.99137,                0.99374,                0.99405,                0.91872,                0.41742,                 0.2474,                 1.0136,               0.009406,               0.009406,               0.009406
                      5,                0.58588,                0.36035,                  1.106,                0.99407,                0.99691,                 0.9945,                0.92958,                0.40273,                0.22716,                 0.9949,               0.009406,               0.009406,               0.009406
                      6,                0.55406,                0.33325,                 1.0836,                0.99242,                0.99753,                0.99423,                 0.9318,                0.39066,                0.22607,                0.98673,               0.009208,               0.009208,               0.009208
                      7,                0.53847,                0.31747,                 1.0736,                0.99661,                0.99753,                0.99493,                0.93133,                0.38546,                0.20864,                0.97743,                0.00901,                0.00901,                0.00901
                      8,                0.52588,                0.30318,                 1.0679,                 0.9963,                0.99743,                0.99443,                0.93628,                0.37474,                0.20891,                0.97769,               0.008812,               0.008812,               0.008812
                      9,                0.51091,                0.29097,                 1.0597,                0.99262,                0.99773,                0.99443,                0.94036,                0.35995,                0.20587,                0.96205,               0.008614,               0.008614,               0.008614
                     10,                0.50048,                0.28114,                 1.0491,                0.99507,                0.99815,                0.99422,                 0.9413,                0.36241,                 0.1959,                0.95773,               0.008416,               0.008416,               0.008416
                     11,                0.49562,                 0.2793,                 1.0486,                0.99478,                0.99938,                0.99478,                0.94818,                0.34931,                0.18297,                0.94884,               0.008218,               0.008218,               0.008218
                     12,                 0.4852,                0.27101,                 1.0437,                0.99345,                0.99691,                 0.9948,                0.94523,                0.36326,                0.19068,                0.96395,                0.00802,                0.00802,                0.00802
                     13,                0.47902,                0.26318,                 1.0372,                0.99507,                0.99809,                0.99469,                0.94789,                0.34597,                0.17732,                 0.9479,               0.007822,               0.007822,               0.007822
                     14,                0.47393,                0.26277,                  1.036,                0.99691,                0.99797,                0.99455,                0.94989,                0.33495,                0.17104,                 0.9388,               0.007624,               0.007624,               0.007624
                     15,                0.47066,                0.25711,                 1.0361,                0.99753,                0.99786,                0.99448,                0.94808,                0.33621,                0.16694,                0.93715,               0.007426,               0.007426,               0.007426
                     16,                0.46212,                0.25249,                 1.0289,                 0.9963,                0.99799,                 0.9947,                0.95147,                0.33096,                0.16697,                0.93357,               0.007228,               0.007228,               0.007228
                     17,                0.45901,                0.24761,                 1.0245,                0.99599,                0.99753,                0.99444,                0.94776,                0.33582,                0.17195,                0.94044,                0.00703,                0.00703,                0.00703
                     18,                0.45558,                0.24544,                 1.0235,                 0.9963,                0.99873,                0.99475,                0.95151,                0.32934,                0.16431,                0.93301,               0.006832,               0.006832,               0.006832
                     19,                0.45128,                0.24218,                 1.0218,                0.99597,                0.99938,                0.99479,                0.95224,                0.32889,                 0.1589,                0.93308,               0.006634,               0.006634,               0.006634
                     20,                0.44906,                0.23962,                 1.0228,                0.99507,                0.99873,                0.99465,                0.95474,                0.32155,                0.15587,                0.92416,               0.006436,               0.006436,               0.006436
                     21,                0.44292,                0.23604,                 1.0217,                0.99805,                0.99815,                0.99485,                 0.9546,                0.32398,                 0.1596,                0.92658,               0.006238,               0.006238,               0.006238
                     22,                0.43748,                0.23231,                 1.0153,                0.99507,                0.99847,                0.99475,                0.95431,                0.31842,                0.15533,                 0.9244,                0.00604,                0.00604,                0.00604
                     23,                0.44044,                0.23243,                  1.017,                0.99638,                0.99876,                0.99431,                0.95647,                0.31707,                0.15366,                0.92384,               0.005842,               0.005842,               0.005842
                     24,                0.43964,                 0.2304,                 1.0161,                0.99753,                  0.999,                 0.9944,                0.95317,                0.32386,                0.15668,                0.92898,               0.005644,               0.005644,               0.005644
                     25,                0.43269,                0.22524,                 1.0121,                0.99697,                0.99753,                0.99477,                0.95621,                0.31847,                0.15071,                0.92277,               0.005446,               0.005446,               0.005446
                     26,                0.42404,                0.22339,                 1.0062,                0.99507,                0.99771,                0.99484,                0.95524,                0.32321,                0.16197,                0.92747,               0.005248,               0.005248,               0.005248
                     27,                0.42606,                0.22233,                 1.0074,                0.99716,                0.99876,                0.99488,                0.95456,                0.31845,                0.15109,                0.92511,                0.00505,                0.00505,                0.00505
